COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX,Class
0.261,0.18699000000000002,0.48098,0.32834,0.57143,0.33333,?,0.39539,0.44195,0.32436,No
0.28343,?,0.6098100000000001,0.41685,0.64286,?,0.53786,0.45397,?,0.43526000000000004,No
?,0.37718,?,0.37368,0.5,0.4,?,0.40889000000000003,0.43428999999999995,0.47115,No
0.32233,0.1158,0.55566,0.32426,0.64286,?,?,0.40052,0.5005,0.29872,No
0.64987,0.29486999999999997,?,0.68918,?,0.66667,0.55461,0.53966,0.5492600000000001,0.54295,Yes
?,0.2133,0.47241000000000005,0.36529,0.57143,0.53333,0.41898,?,?,?,No
0.26561999999999997,0.25566,0.47298999999999997,0.34705,?,0.33333,0.42341999999999996,0.38472,0.40689000000000003,0.41538,Yes
0.11210999999999999,0.37656,0.53267,?,0.57143,?,?,0.47376999999999997,?,0.48333000000000004,No
0.01438,?,?,0.13197,0.35714,0.26666999999999996,?,0.29538000000000003,0.33978,0.45321000000000006,No
0.046110000000000005,0.38313,0.37096,?,0.5,0.46667,0.39997,?,0.38916,?,No
0.09331,?,?,0.22195,?,0.46667,0.50703,?,?,0.45705,No
?,?,0.42832,?,0.57143,0.33333,0.44661000000000006,0.37137,0.41347,0.39744,No
0.23755,0.2181,0.69586,0.39188,0.64286,0.4,0.5595600000000001,0.45537,0.51352,0.35,No
0.20332,?,0.39623,0.27371999999999996,?,0.33333,0.37921,0.33773000000000003,?,0.34615,No
0.17165999999999998,0.25364000000000003,?,0.31663,0.85714,0.6,0.52791,0.37894,0.46135,?,No
0.21541,?,0.43231,0.29015,0.42857,0.33333,?,0.35362,0.4254,?,No
0.37203,0.03837,0.45898,?,0.42857,0.33333,?,0.24745999999999999,0.27004,0.18974000000000002,No
?,0.26256,0.36861,0.28829,0.5,?,0.48475,0.33709,0.41867,?,Yes
0.07594,0.25843,0.37438,0.26842,0.28570999999999996,?,0.37206999999999996,?,?,0.25897,No
0.08292999999999999,0.28862,?,0.26877,0.42857,0.4,0.46518999999999994,?,?,?,No
0.24948,0.028069999999999998,0.41921,0.23296,0.57143,0.26666999999999996,0.33931,0.22969,0.2902,0.17564000000000002,No
0.25995,0.16084,0.52059,0.33809,?,0.4,?,?,0.47343999999999997,0.38718,No
0.11245999999999999,?,0.36255,0.27879,?,?,?,0.33038,?,0.37821,No
?,0.14935,0.40245,?,0.35714,0.33333,?,0.34618000000000004,0.37751999999999997,0.38205,No
?,?,0.5433600000000001,0.31648000000000004,0.57143,0.46667,0.5082300000000001,0.4013,?,?,No
0.15609,0.12555,0.43051999999999996,0.21365,0.42857,0.33333,0.47426999999999997,?,0.40476,0.34679,No
0.28031,0.1349,0.55824,0.3586,?,?,?,?,?,0.26282,No
0.29131999999999997,0.2884,0.54601,0.46511,0.57143,0.46667,0.50793,?,?,?,Yes
?,0.15532,0.56898,0.3176,0.57143,?,0.5142100000000001,?,0.45408999999999994,?,No
?,0.2436,?,?,?,0.46667,0.50966,?,0.4659,0.44359,No
?,0.10138,0.55283,0.36421,?,0.4,?,0.3752,?,?,No
?,0.45266999999999996,0.55181,0.43576000000000004,0.64286,?,0.5058199999999999,?,0.49227,?,No
0.22989,0.32715,0.63242,0.42628,0.64286,0.46667,0.51464,0.46155,0.49178999999999995,?,No
